date,region,channel,revenue,units,discount_pct,rating,churned
2023-01-01,East,Online,401.04,5,18.1,4.1,0
2023-01-02,South,Retail,371.46,7,13.9,3.1,0
2023-01-03,West,Partner,565.14,8,12.5,4.9,0
2023-01-04,East,Retail,601.76,15,6.4,3.7,0
2023-01-05,North,Partner,499.5,7,4.5,5.0,0
2023-01-06,West,Retail,4000.0,16,11.2,4.1,0
2023-01-07,East,Partner,400.84,6,3.6,4.7,0
2023-01-08,East,Online,349.59,7,7.0,4.1,0
2023-01-09,North,Retail,528.46,7,7.5,4.1,1
2023-01-10,South,Online,375.63,12,14.4,3.7,0
2023-01-11,South,Retail,441.26,12,6.6,4.2,0
2023-01-12,West,Retail,295.15,7,0.0,4.3,0
2023-01-13,East,Partner,439.22,5,10.0,3.6,0
2023-01-14,West,Partner,,9,5.2,4.0,0
2023-01-15,South,Online,479.71,6,8.2,3.7,0
2023-01-16,North,Retail,580.42,16,7.7,5.0,0
2023-01-17,East,Retail,407.65,10,6.9,4.0,0
2023-01-18,North,Online,615.19,13,11.2,5.0,0
2023-01-19,West,Online,362.07,1,1.9,4.0,0
2023-01-20,East,Online,,8,5.9,4.3,0
2023-01-21,East,Retail,506.86,12,10.7,3.3,1
2023-01-22,South,Online,369.77,11,5.5,3.8,0
2023-01-23,West,Partner,402.19,11,1.6,4.2,0
2023-01-24,West,Online,451.46,4,10.7,5.0,0
2023-01-25,East,Partner,558.03,12,12.5,4.2,0
2023-01-26,North,Online,562.13,14,7.8,4.9,0
2023-01-27,South,Retail,581.94,7,0.2,4.5,0
2023-01-28,North,Online,646.69,13,10.8,5.0,1
2023-01-29,North,Retail,560.27,12,1.4,4.1,0
2023-01-30,East,Retail,577.03,11,9.2,5.0,0
2023-01-31,East,Partner,661.77,8,4.5,3.8,0
2023-02-01,West,Retail,575.59,11,3.4,3.6,0
2023-02-02,South,Online,399.08,7,6.2,3.4,1
2023-02-03,South,Online,421.9,8,7.3,5.0,0
2023-02-04,South,Online,592.42,10,5.4,4.6,0
2023-02-05,North,Online,518.72,9,10.4,3.9,0
2023-02-06,North,Retail,502.3,10,6.2,4.8,0
2023-02-07,South,Retail,459.61,10,11.9,4.5,0
2023-02-08,North,Retail,628.46,12,9.1,5.0,0
2023-02-09,East,Partner,536.15,9,5.2,3.2,0
